word,transcription,numLetters,numPhonemes,difference
be,bi:,2,2,0
of,"əv, ɒv",2,2,0
and,"ənd, ænd",3,3,0
to,"tə, tu:",2,2,0
in,ɪn,2,2,0
it,ɪt,2,2,0
he,hi:,2,2,0
not,nɒt,3,3,0
on,ɒn,2,2,0
do,du:,2,2,0
at,"æt, ət",2,2,0
we,wi:,2,2,0
but,"bət, bʌt",3,3,0
from,"frəm, frɒm",4,4,0
as,"əz, æz",2,2,0
an,"ən, æn",2,2,0
say,seɪ,3,3,0
can,"kən, kæn",3,3,0
if,ɪf,2,2,0
get,get,3,3,0
make,meɪk,4,4,0
up,ʌp,2,2,0
out,aʊt,3,3,0
one,wʌn,3,3,0
time,taɪm,4,4,0
take,teɪk,4,4,0
into,"ˈɪntə, ˈɪntu:",4,4,0
about,əˈbaʊt,5,5,0
now,naʊ,3,3,0
just,ʤʌst,4,4,0
any,ˈeni,3,3,0
new,nju:,3,3,0
very,ˈveri,4,4,0
may,meɪ,3,3,0
way,weɪ,3,3,0
such,sʌtʃ,4,4,0
use,ju:z,3,3,0
like,laɪk,4,4,0
how,haʊ,3,3,0
man,mæn,3,3,0
day,deɪ,3,3,0
many,ˈmeni,4,4,0
want,wɒnt,4,4,0
down,daʊn,4,4,0
over,ˈəʊvə,4,4,0
last,lɑ:st,4,4,0
must,"məst, mʌst",4,4,0
child,ʧaɪld,5,5,0
put,pʊt,3,3,0
own,əʊn,3,3,0
great,greɪt,5,5,0
case,keɪs,4,4,0
life,laɪf,4,4,0
system,ˈsɪstəm,6,6,0
same,seɪm,4,4,0
woman,ˈwʊmən,5,5,0
yes,jes,3,3,0
ask,ɑ:sk,3,3,0
company,ˈkʌmpəni,7,7,0
problem,ˈprɒbləm,7,7,0
never,ˈnevər,5,5,0
place,pleɪs,5,5,0
provide,prəˈvaɪd,7,7,0
hand,hænd,4,4,0
why,waɪ,3,3,0
point,pɔɪnt,5,5,0
away,əˈweɪ,4,4,0
end,end,3,3,0
always,ˈɔ:lweɪz,6,6,0
local,ˈləʊkl,5,5,0
state,steɪt,5,5,0
few,fju:,3,3,0
example,ɪgˈzɑ:mpl,7,7,0
begin,bɪˈgɪn,5,5,0
family,ˈfæməli,6,6,0
fact,fækt,4,4,0
help,help,4,4,0
five,faɪv,4,4,0
quite,kwaɪt,5,5,0
run,rʌn,3,3,0
set,set,3,3,0
side,saɪd,4,4,0
