word,transcription,numLetters,numPhonemes,difference
the,"ðə, ði:",3,2,1
have,"hæv, həv",4,3,1
for,"fə, fɔ:",3,2,1
they,ðeɪ,4,3,1
you,ju:,3,2,1
that,ðæt,4,3,1
with,wɪð,4,3,1
she,ʃi:,3,2,1
by,baɪ,2,3,-1
this,ðɪs,4,3,1
or,ɔ:,2,1,1
which,wɪʧ,5,3,2
will,wɪl,4,3,1
would,"wʊd, wəd",5,3,2
all,ɔ:l,3,2,1
there,ðeə,5,3,2
what,wɒt,4,3,1
go,ɡəʊ,2,3,-1
so,səʊ,2,3,-1
who,hu:,3,2,1
see,si:,3,2,1
know,nəʊ,4,3,1
when,wɪn,4,3,1
some,sʌm,4,3,1
year,jɪə,4,3,1
could,"kʊd, kəd",5,3,2
then,ðen,4,3,1
two,tu:,3,2,1
well,wel,4,3,1
think,θɪŋk,5,4,1
come,kʌm,4,3,1
than,"ðən, ðæn",4,3,1
more,mɔ:r,4,3,1
no,nəʊ,2,3,-1
other,ˈʌðə,5,3,2
give,gɪv,4,3,1
only,ˈəʊnli,4,5,-1
good,gʊd,4,3,1
these,ði:z,5,3,2
also,ˈɔ:lsəʊ,4,5,-1
people,ˈpi:pl,6,4,2
first,fɜ:st,5,4,1
should,"ʃʊd, ʃəd",6,3,3
look,lʊk,4,3,1
because,"bɪˈkəz, bɪˈkɒz",7,5,2
find,faɪnd,4,5,-1
between,bɪtˈwi:n,7,6,1
after,ˈɑ:ftə,5,4,1
those,ðəʊz,5,4,1
even,ˈi:vn,4,3,1
three,θri:,5,3,2
back,bæk,4,3,1
thing,θɪŋ,5,3,2
tell,tel,4,3,1
through,θru:,7,3,4
still,stɪl,5,4,1
here,hɪə,4,3,1
too,tu:,3,2,1
government,ˈgʌvənmənt,10,9,1
become,bɪˈkʌm,6,5,1
mean,mi:n,4,3,1
part,pɑ:t,4,3,1
need,ni:d,4,3,1
work,wɜ:k,4,3,1
old,əʊld,3,4,-1
leave,li:v,5,3,2
where,weə,5,3,2
each,i:ʧ,4,2,2
group,gru:p,5,4,1
number,ˈnʌmbə,6,5,1
however,haʊˈevə,7,6,1
seem,si:m,4,3,1
another,əˈnʌðə,7,5,2
might,maɪt,5,4,1
feel,fi:l,4,3,1
show,ʃəʊ,4,3,1
world,wɜ:ld,5,4,1
area,ˈeəriə,4,5,-1
house,haʊs,5,4,1
again,"əˈgen, əˈɡeɪn",5,4,1
high,haɪ,4,3,1
most,məʊst,4,5,-1
course,kɔ:s,6,3,3
against,"əˈgenst, əˈɡeɪnst",7,6,1
under,ˈʌndə,5,4,1
service,ˈsɜ:rvɪs,7,6,1
try,traɪ,3,4,-1
party,ˈpɑ:ti,5,4,1
call,kɔ:l,4,3,1
school,sku:l,6,4,2
much,mʌʧ,4,3,1
small,smɔ:l,5,4,1
something,ˈsʌmθɪŋ,9,6,3
while,waɪl,5,4,1
keep,ki:p,4,3,1
country,ˈkʌntri,7,6,1
little,ˈlɪtl,6,4,2
different,ˈdɪfrənt,9,7,2
large,lɑ:ʤ,5,3,2
off,ɒf,3,2,1
member,ˈmembə,6,5,1
week,wi:k,4,3,1
hold,həʊld,4,5,-1
really,ˈri:əli,6,5,1
four,fɔ:,4,2,2
next,nekst,4,5,-1
within,wɪˈðɪn,6,5,1
without,wɪˈðaʊt,7,6,1
turn,tɜ:n,4,3,1
during,ˈdjʊərɪŋ,6,7,-1
although,ɔ:lˈðəʊ,8,5,3
bring,brɪŋ,5,4,1
word,wɜ:d,4,3,1
before,biˈfɔ:,6,4,2
rather,ˈrɑ:ðə,6,4,2
follow,ˈfɒləʊ,6,5,1
social,ˈsəʊʃl,6,5,1
long,lɒŋ,4,3,1
start,stɑ:t,5,4,1
right,raɪt,5,4,1
write,raɪt,5,4,1
month,mʌnθ,5,4,1
every,ˈevri,5,4,1
business,ˈbɪznəs,8,6,2
important,ɪmˈpɔ:tnt,9,7,2
term,tɜ:m,4,3,1
information,ˌɪnfəˈmeɪʃn,11,9,2
head,hed,4,3,1
power,ˈpaʊə,5,4,1
change,ʧeɪnʤ,6,5,1
move,mu:v,4,3,1
night,naɪt,5,4,1
national,ˈnæʃnəl,8,6,2
order,ˈɔ:də,5,3,2
interest,"ˈɪntrəst, ˈɪntrest",8,7,1
often,"ˈɒfn, ˈɒftən",5,3,2
book,bʊk,4,3,1
money,ˈmʌni,5,4,1
young,jʌŋ,5,3,2
eye,aɪ,3,2,1
water,ˈwɔ:tə,5,4,1
level,ˈlevl,5,4,1
whether,ˈweðə,7,4,3
british,ˈbrɪtɪʃ,7,6,1
include,ɪnˈklu:d,7,6,1
early,ˈɜ:rli,5,4,1
hear,hɪə,4,3,1
council,ˈkaʊnsl,7,6,1
though,ðəʊ,6,3,3
court,kɔ:t,5,3,2
room,"ru:m, rʊm",4,3,1
general,ˈʤenrəl,7,6,1
believe,bɪˈli:v,7,5,2
possible,ˈpɒsəbl,8,6,2
perhaps,"pəˈhæps, præps",7,6,1
effect,ɪˈfekt,6,5,1
already,ɔ:lˈredi,7,6,1
meet,mi:t,4,3,1
lead,li:d,4,3,1
nothing,ˈnʌθɪŋ,7,5,2
live,lɪv,4,3,1
allow,əˈlaʊ,5,4,1
idea,aɪˈdɪə,4,5,-1
law,lɔ:,3,2,1
happen,ˈhæpən,6,5,1
authority,"əˈθɒrəti, ɔ:ˈθɒrəti",9,7,2
friend,frend,6,5,1
view,vju:,4,3,1
carry,ˈkæri,5,4,1
almost,ˈɔ:lməʊst,6,7,-1
minister,ˈmɪnɪstə,8,7,1
political,pəˈlɪtɪkl,9,8,1
together,təˈgeðə,8,6,2
appear,əˈpɪə,6,4,2
six,sɪks,3,4,-1
least,li:st,5,4,1
talk,tɔ:k,4,3,1
hour,ˈaʊə,4,3,1
office,ˈɒfɪs,6,4,2
war,wɔ:,3,2,1
full,fʊl,4,3,1
offer,ˈɒfə,5,3,2
since,sɪns,5,4,1
particular,pəˈtɪkjələ,10,9,1
consider,kənˈsɪdə,8,7,1
reason,ˈri:zn,6,4,2
person,ˈpɜ:sn,6,4,2
less,les,4,3,1
suggest,səˈʤest,7,6,1
period,ˈpɪəriəd,6,7,-1
expect,ɪkˈspekt,6,7,-1
sort,sɔ:t,4,3,1
centre,ˈsentə,6,5,1
society,səˈsaɪəti,7,8,-1
door,dɔ:,4,2,2
figure,ˈfɪgə,6,4,2
mother,ˈmʌðə,6,4,2
anything,ˈeniθɪŋ,8,6,2
towards,təˈwɔ:dz,7,6,1
available,əˈveɪləbl,9,8,1
police,pəˈli:s,6,5,1
add,æd,3,2,1
kind,kaɪnd,4,5,-1
lose,lu:z,4,3,1
issue,"ˈɪʃu:, ˈɪʃju:",5,3,2
control,kənˈtrəʊl,7,8,-1
ever,ˈevə,4,3,1
action,ˈækʃn,6,4,2
fall,fɔ:l,4,3,1
position,pəˈzɪʃn,8,6,2
matter,ˈmætə,6,4,2
education,ˌeʤuˈkeɪʃn,9,8,1
remember,rɪˈmembə,8,7,1
research,"rɪˈsɜ:tʃ, ˈri:sɜ:tʃ",8,6,2
minute,"ˈmɪnɪt, maɪˈnju:t",6,5,1
subject,"ˈsʌbdʒɪkt, ˈsʌbdʒekt",7,8,-1
britain,ˈbrɪtn,7,5,2
speak,spi:k,5,4,1
programme,ˈprəʊɡræm,9,8,1
force,fɔ:s,5,3,2
health,helθ,6,4,2
million,ˈmɪljən,7,6,1
receive,rɪˈsi:v,7,5,2
patient,ˈpeɪʃnt,7,6,1
decision,dɪˈsɪʒn,8,6,2
father,ˈfɑ:ðə,6,4,2
class,klɑ:s,5,4,1
moment,ˈməʊmənt,6,7,-1
church,ʧɜ:ʧ,6,3,3
girl,gɜ:l,4,3,1
street,stri:t,6,5,1
condition,kənˈdɪʃn,9,7,2
several,ˈsevrəl,7,6,1
clear,klɪə,5,4,1
sure,"ʃʊə, ʃɔ:",4,3,1
enough,ɪˈnʌf,6,4,2
agree,əˈgri:,5,4,1
mind,maɪnd,4,5,-1
themselves,ðəmˈselvz,10,8,2
therefore,ˈðeəfɔ:,9,5,4
understand,ˌʌndəˈstænd,10,9,1
section,ˈsekʃn,7,5,2
south,saʊθ,5,4,1
including,ɪnˈklu:dɪŋ,9,8,1
build,bɪld,5,4,1
involve,ɪnˈvɒlv,7,6,1
read,ri:d,4,3,1
staff,stɑ:f,5,4,1
building,ˈbɪldɪŋ,8,6,2
team,ti:m,4,3,1
among,əˈmʌŋ,5,4,1
reach,ri:ʧ,5,3,2
open,ˈəʊpən,4,5,-1
sense,sens,5,4,1
death,deθ,5,3,2
student,ˈtju:dnt,7,6,1
table,ˈteɪbəl,5,6,-1
international,ˌɪntəˈnæʃnəl,13,10,3
experience,ɪkˈspɪəriəns,10,11,-1
language,ˈlæŋgwɪʤ,8,7,1
union,ˈju:niən,5,6,-1
management,ˈmænɪʤmənt,10,9,1
department,dɪˈpɑ:tmənt,10,9,1
black,blæk,5,4,1
