word,transcription,numLetters,numPhonemes,difference
the,"ðə, ði:",3,2,1
be,bi:,2,2,0
of,"əv, ɒv",2,2,0
and,"ənd, ænd",3,3,0
to,"tə, tu:",2,2,0
in,ɪn,2,2,0
have,"hæv, həv",4,3,1
it,ɪt,2,2,0
he,hi:,2,2,0
for,"fə, fɔ:",3,2,1
they,ðeɪ,4,3,1
you,ju:,3,2,1
not,nɒt,3,3,0
that,ðæt,4,3,1
with,wɪð,4,3,1
she,ʃi:,3,2,1
on,ɒn,2,2,0
do,du:,2,2,0
at,"æt, ət",2,2,0
by,baɪ,2,3,-1
we,wi:,2,2,0
this,ðɪs,4,3,1
but,"bət, bʌt",3,3,0
from,"frəm, frɒm",4,4,0
as,"əz, æz",2,2,0
or,ɔ:,2,1,1
which,wɪʧ,5,3,2
an,"ən, æn",2,2,0
will,wɪl,4,3,1
say,seɪ,3,3,0
would,"wʊd, wəd",5,3,2
can,"kən, kæn",3,3,0
if,ɪf,2,2,0
all,ɔ:l,3,2,1
there,ðeə,5,3,2
what,wɒt,4,3,1
go,ɡəʊ,2,3,-1
so,səʊ,2,3,-1
get,get,3,3,0
make,meɪk,4,4,0
who,hu:,3,2,1
up,ʌp,2,2,0
out,aʊt,3,3,0
one,wʌn,3,3,0
see,si:,3,2,1
time,taɪm,4,4,0
know,nəʊ,4,3,1
take,teɪk,4,4,0
when,wɪn,4,3,1
some,sʌm,4,3,1
year,jɪə,4,3,1
could,"kʊd, kəd",5,3,2
into,"ˈɪntə, ˈɪntu:",4,4,0
then,ðen,4,3,1
two,tu:,3,2,1
well,wel,4,3,1
about,əˈbaʊt,5,5,0
think,θɪŋk,5,4,1
come,kʌm,4,3,1
than,"ðən, ðæn",4,3,1
more,mɔ:r,4,3,1
no,nəʊ,2,3,-1
now,naʊ,3,3,0
other,ˈʌðə,5,3,2
give,gɪv,4,3,1
only,ˈəʊnli,4,5,-1
good,gʊd,4,3,1
just,ʤʌst,4,4,0
these,ði:z,5,3,2
also,ˈɔ:lsəʊ,4,5,-1
people,ˈpi:pl,6,4,2
first,fɜ:st,5,4,1
any,ˈeni,3,3,0
new,nju:,3,3,0
very,ˈveri,4,4,0
may,meɪ,3,3,0
way,weɪ,3,3,0
should,"ʃʊd, ʃəd",6,3,3
look,lʊk,4,3,1
such,sʌtʃ,4,4,0
use,ju:z,3,3,0
like,laɪk,4,4,0
because,"bɪˈkəz, bɪˈkɒz",7,5,2
how,haʊ,3,3,0
find,faɪnd,4,5,-1
man,mæn,3,3,0
day,deɪ,3,3,0
between,bɪtˈwi:n,7,6,1
after,ˈɑ:ftə,5,4,1
many,ˈmeni,4,4,0
want,wɒnt,4,4,0
those,ðəʊz,5,4,1
even,ˈi:vn,4,3,1
down,daʊn,4,4,0
three,θri:,5,3,2
back,bæk,4,3,1
thing,θɪŋ,5,3,2
over,ˈəʊvə,4,4,0
tell,tel,4,3,1
last,lɑ:st,4,4,0
through,θru:,7,3,4
must,"məst, mʌst",4,4,0
child,ʧaɪld,5,5,0
still,stɪl,5,4,1
here,hɪə,4,3,1
put,pʊt,3,3,0
own,əʊn,3,3,0
too,tu:,3,2,1
government,ˈgʌvənmənt,10,9,1
become,bɪˈkʌm,6,5,1
mean,mi:n,4,3,1
part,pɑ:t,4,3,1
need,ni:d,4,3,1
work,wɜ:k,4,3,1
great,greɪt,5,5,0
case,keɪs,4,4,0
old,əʊld,3,4,-1
life,laɪf,4,4,0
leave,li:v,5,3,2
system,ˈsɪstəm,6,6,0
same,seɪm,4,4,0
where,weə,5,3,2
each,i:ʧ,4,2,2
group,gru:p,5,4,1
woman,ˈwʊmən,5,5,0
number,ˈnʌmbə,6,5,1
however,haʊˈevə,7,6,1
seem,si:m,4,3,1
another,əˈnʌðə,7,5,2
might,maɪt,5,4,1
feel,fi:l,4,3,1
show,ʃəʊ,4,3,1
yes,jes,3,3,0
world,wɜ:ld,5,4,1
area,ˈeəriə,4,5,-1
house,haʊs,5,4,1
ask,ɑ:sk,3,3,0
company,ˈkʌmpəni,7,7,0
again,"əˈgen, əˈɡeɪn",5,4,1
high,haɪ,4,3,1
most,məʊst,4,5,-1
course,kɔ:s,6,3,3
problem,ˈprɒbləm,7,7,0
against,"əˈgenst, əˈɡeɪnst",7,6,1
under,ˈʌndə,5,4,1
service,ˈsɜ:rvɪs,7,6,1
never,ˈnevər,5,5,0
try,traɪ,3,4,-1
place,pleɪs,5,5,0
party,ˈpɑ:ti,5,4,1
call,kɔ:l,4,3,1
school,sku:l,6,4,2
much,mʌʧ,4,3,1
provide,prəˈvaɪd,7,7,0
small,smɔ:l,5,4,1
hand,hænd,4,4,0
something,ˈsʌmθɪŋ,9,6,3
while,waɪl,5,4,1
why,waɪ,3,3,0
keep,ki:p,4,3,1
country,ˈkʌntri,7,6,1
point,pɔɪnt,5,5,0
little,ˈlɪtl,6,4,2
different,ˈdɪfrənt,9,7,2
large,lɑ:ʤ,5,3,2
away,əˈweɪ,4,4,0
off,ɒf,3,2,1
member,ˈmembə,6,5,1
week,wi:k,4,3,1
hold,həʊld,4,5,-1
really,ˈri:əli,6,5,1
end,end,3,3,0
four,fɔ:,4,2,2
next,nekst,4,5,-1
always,ˈɔ:lweɪz,6,6,0
within,wɪˈðɪn,6,5,1
